iter	Logloss
0	0.6181908257
1	0.5398925732
2	0.4802380679
3	0.436285564
4	0.4118673723
5	0.3774455375
6	0.3600409044
7	0.3391419551
8	0.3217633254
9	0.3086106001
10	0.2971195185
11	0.2881881191
12	0.2678386133
13	0.2633582894
14	0.2521492057
15	0.2438653087
16	0.2402005269
17	0.2359914731
18	0.2326559699
19	0.2290470607
20	0.2255619258
21	0.2223809472
22	0.2148887566
23	0.2091348818
24	0.2059102857
25	0.2023403029
26	0.19989455
27	0.1968239572
28	0.1929439124
29	0.1895604566
30	0.1850610028
31	0.1827125885
32	0.1805639031
33	0.1780587809
34	0.1752296082
35	0.1707955077
36	0.1680827735
37	0.1648448342
38	0.1612591965
39	0.1597756137
40	0.158321992
41	0.1568265376
42	0.1548558875
43	0.1535292348
44	0.151858404
45	0.1500181209
46	0.1477677278
47	0.1462221489
48	0.1441490444
49	0.1422402199
50	0.140664293
51	0.1398763765
52	0.1369224612
53	0.1349651125
54	0.1335923547
55	0.1316230648
56	0.1292905945
57	0.1275359813
58	0.1258617868
59	0.1244314995
60	0.123027081
61	0.1210398884
62	0.1202332154
63	0.1187943551
64	0.1171599923
65	0.1148739558
66	0.1137440912
67	0.1130971755
68	0.1107632294
69	0.1098064004
70	0.1090619206
71	0.1078449558
72	0.1063182375
73	0.1048154439
74	0.1041011542
75	0.1028785697
76	0.101124042
77	0.1000053948
78	0.09843654434
79	0.09769614974
80	0.09707843469
81	0.09561799519
82	0.09484588679
83	0.09324036075
84	0.09268092956
85	0.09190255222
86	0.09133234041
87	0.09040780844
88	0.08916055554
89	0.08760690065
90	0.08693794503
91	0.08634869332
92	0.08556909662
93	0.08362148803
94	0.08242474404
95	0.08127016403
96	0.08068450871
97	0.0799410773
98	0.07924979375
99	0.07823283149
100	0.07687869323
101	0.07589315534
102	0.07536684128
103	0.07488056608
104	0.07385807974
105	0.07279358594
106	0.07197888047
107	0.0714474491
108	0.07086066448
109	0.07034129195
110	0.0695289312
111	0.06920442264
112	0.06855154303
113	0.0675510126
114	0.06692407244
115	0.06595368089
116	0.06543579278
117	0.06507700095
118	0.06461449958
119	0.06396246334
120	0.06352984347
121	0.06237538961
122	0.0618212335
123	0.06125835912
124	0.06032618651
125	0.05980545242
126	0.05920156769
127	0.0584380074
128	0.05784562886
129	0.05703706287
130	0.05661696904
131	0.05594176158
132	0.05537384348
133	0.05486923649
134	0.05448832933
135	0.05387757597
136	0.0532598242
137	0.05274933202
138	0.0521460023
139	0.05161217358
140	0.05082064526
141	0.05040091991
142	0.05011727417
143	0.0495978906
144	0.0490230792
145	0.04861204753
146	0.04827402504
147	0.04791867037
148	0.04744403432
149	0.04713922608
150	0.04682269581
151	0.04641829361
152	0.04570208631
153	0.04525352018
154	0.04490284826
155	0.0446000789
156	0.04397411178
157	0.04373481997
158	0.04329559567
159	0.04285721431
160	0.04266360898
161	0.04233779752
162	0.04193310204
163	0.0415190015
164	0.04127763536
165	0.04088788579
166	0.0403253381
167	0.03995751862
168	0.03965576754
169	0.03949532901
170	0.03935226512
171	0.03884080745
172	0.03846961125
173	0.03795670855
174	0.03774001387
175	0.03752722215
176	0.03731683303
177	0.03696230784
178	0.03679064461
179	0.03661610375
180	0.03614032327
181	0.03591218977
182	0.03565582335
183	0.03516142232
184	0.03478365473
185	0.0342028881
186	0.03373406933
187	0.03346636065
188	0.03314417582
189	0.03283430144
190	0.03261725848
191	0.03222174083
192	0.03200013308
193	0.0315930646
194	0.03097777708
195	0.0305713615
196	0.03037676129
197	0.03020107809
198	0.02983981214
199	0.02965072994
200	0.02954022142
201	0.0293380169
202	0.02904200289
203	0.02888858976
204	0.02870989734
205	0.02850643117
206	0.02823215606
207	0.02793659691
208	0.02769429176
209	0.02746926532
210	0.02727755144
211	0.0268319857
212	0.02660435927
213	0.02650508102
214	0.02625734762
215	0.0261159094
216	0.0259177097
217	0.02576754641
218	0.02554450721
219	0.02540366699
220	0.02516018434
221	0.02496148346
222	0.02458697181
223	0.02429506592
224	0.02415218745
225	0.02400669068
226	0.02390234993
227	0.02370257779
228	0.02350972946
229	0.02343300014
230	0.02323123945
231	0.02305412001
232	0.02289880121
233	0.0227243631
234	0.0226372768
235	0.02247185707
236	0.0223917258
237	0.02224099738
238	0.02210931603
239	0.02181517612
240	0.02171311132
241	0.02150433349
242	0.02144474353
243	0.02101216192
244	0.02079028615
245	0.02067002729
246	0.02056183562
247	0.02040444219
248	0.02030629692
249	0.02012537012
250	0.02000977644
251	0.01987210712
252	0.01977469214
253	0.01963562205
254	0.01955598439
255	0.01948773723
256	0.01929184543
257	0.01920189811
258	0.01910494736
259	0.01895695821
260	0.0188551296
261	0.01872718368
262	0.01842473681
263	0.01833013802
264	0.01826194168
265	0.01816721004
266	0.01809815745
267	0.01793337246
268	0.01778051797
269	0.01766837054
270	0.01761926065
271	0.01741938431
272	0.01734502051
273	0.01728277729
274	0.01716990237
275	0.01707551525
276	0.01697784519
277	0.01693121396
278	0.01676543927
279	0.01659362214
280	0.01652913434
281	0.01625744538
282	0.01615843023
283	0.01607122767
284	0.01598765381
285	0.01588586843
286	0.01577094571
287	0.01560273968
288	0.01548695842
289	0.0153400721
290	0.01527204675
291	0.01521787499
292	0.01511997633
293	0.01503796026
294	0.01494527739
295	0.01489694288
296	0.01483366552
297	0.01476691545
298	0.01466963983
299	0.01460712864
